id,EIC_Code,NE_name,v_nom,length_km,r_per_km,x_per_km,b_per_km_uS,PyPSA_ids,match_quality,has_match,r,x,b,length,Comment,bus0,bus1,TSO,CORE-TSO_bus0,CORE-TSO_bus1,Imax,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line,Unnamed: 26,b_per_km,is_parallel_circuit,parallel_group
0,11TD8L203------C,Eula - Röhrsdorf 203,220,29.443186401663322,0.0794723457125662,0.3562151773407621,,relation/2247305-220,Fair Match,True,4.0937,18.349,0.0001611637031291,51.511,,32843531T,23117075T,50HERTZ,Eula,Röhrsdorf,790.0,,,,,,,,,173.8,False,,3.12872402261847e-06,False,
1,11TD8L207------H,Röhrsdorf - Weida 207,220,54.29572453666662,0.0771886823156096,0.3243155282535291,,relation/2247304-220,Parallel Circuit - One-to-One,True,7.5895,31.888,0.0003487167845484,98.324,,23117075T,156673637T,50HERTZ,Röhrsdorf,Weida,790.0,,,,,,,,,173.8,False,,3.546609012534071e-06,True,1_106
2,11TD8L208------9,Eula - Weida 208,220,42.17021262371331,0.0748142116950407,0.2892820133234641,,relation/2247306-220,Poor Match,True,5.0537,19.541,0.0002642393580934,67.55,,32843531T,156673637T,50HERTZ,Eula,Weida,1070.0,,,,,,,,,235.4,False,,3.911759557267209e-06,False,
3,11TD8L275------7,Bentwisch - Güstrow 275,220,19.38726240528695,0.0460910715148003,0.2910570283451639,,relation/1000670-380,Parallel Circuit - One-to-One,True,1.909,12.055,0.0001580849423286,41.418,,32318130T,32062544T,50HERTZ,Bentwisch,Güstrow,1200.0,,,,,,,,,264.0,False,,3.816817382022309e-06,True,3_80_81
4,11TD8L291------L,Wuhlheide - Thyrow 291,220,21.350218942848425,0.0763129468648732,0.2878195566071704,,merged_way/23598077-220+3,Parallel Circuit - One-to-One,True,2.9672,11.191,0.000266784,38.882,,22973052,29331499T,50HERTZ,Wuhlheide,Thyrow,960.0,,,,,,,,,211.2,False,,6.861375443650018e-06,True,4_8
5,11TD8L295------Q,Hennigsdorf - Wustermark 295,220,18.882739965907916,0.02,0.25,,way/8017477-220;merged_way/765260456-220+7,2-Segment Fair Match,True,0.548,6.85,0.0001291194580625,27.4,,30309989,27149550T,50HERTZ,Hennigsdorf,Wustermark,1070.0,,,,,,,,,235.4,False,,4.712388980383212e-06,False,
6,11TD8L301------I,Marzahn - Wuhlheide 301,220,4.364028622150031,0.0602239051695752,0.2733838217539238,,merged_way/40801071-220+1,Parallel Circuit - One-to-One,True,0.5487,2.4908,3.70707933123596e-05,9.111,,22973070T,22973052,50HERTZ,Marzahn,Wuhlheide,1070.0,,,,,,,,,235.4,False,,4.068795226908089e-06,True,6_7
7,11TD8L302------A,Marzahn - Wuhlheide(Abzweig) 302/1,220,4.364028622150031,0.0598178026561299,0.2718911206234222,,merged_way/40801071-220+1,Parallel Circuit - Parallel Circuit - Fair Match,True,0.545,2.4772,3.70707933123596e-05,9.111,,22973070T,22973052,50HERTZ,Marzahn,Wuhlheide (Abzweig),960.0,,,,,,,,,211.2,False,,4.068795226908089e-06,True,6_7
8,11TD8L302------A,Wuhlheide (Abzweig) - Thyrow 302/2,220,21.350218942848425,0.0763129468648732,0.2878195566071704,,merged_way/23598077-220+3,Parallel Circuit - Parallel Circuit - Poor Match,True,2.9672,11.191,0.0001531212259359,38.882,,22973052,29331499T,50HERTZ,Wuhlheide (Abzweig),Thyrow,960.0,,,,,,,,,211.2,False,,3.93810055902217e-06,True,4_8
9,11TD8L303------2,Bertikow - Neuenhagen303,220,50.58686475356137,0.0775388083286856,0.2978945900725042,,way/1101762004-380,Simplified Geometry Match (0.86),True,6.6733,25.638,0.0003211650169764,86.064,,30039908,137197826T,50HERTZ,Bertikow,Neuenhagen,1070.0,,,,,,,,,235.4,False,,3.731699862618517e-06,False,
10,11TD8L304------V,Neuenhagen - Vierraden 304,220,53.045509783303956,0.0787804200246139,0.2947814522212076,,merged_way/74003850-380+2,Simplified Geometry Match (0.89),True,7.9376,29.701,0.0003759858087816,100.756,,137197826T,170123812T,50HERTZ,Neuenhagen,Vierraden,1070.0,,,,,,,,,235.4,False,,3.731646837722815e-06,False,
11,11TD8L305------N,Bertikow - Pasewalk 305,220,17.664543964906198,0.077540633164806,0.2979030233110515,,way/49746081-220,Simplified Geometry Match (0.80),True,2.2852,8.7795,0.0001099871588021,29.471,,30039908,943444232,50HERTZ,Bertikow,Pasewalk,900.0,,,,,,,,,198.0,False,,3.7320470564996097e-06,False,
12,11TD8L306------F,Vierraden - Pasewalk 306,220,31.36227954012956,0.0795717863779591,0.2928173224529369,,way/49746082-220-a,Simplified Geometry Match (0.68),True,4.9243,18.121,0.0002309070600388,61.885,,170123812T,943444232,50HERTZ,Vierraden,Pasewalk,1070.0,,,,,,,,,235.4,False,,3.73122824656702e-06,False,
13,11TD8L313------U,Lubmin - Lüdershagen 313,220,2.5093469273149593,0.0501850138760407,0.29050736497545,,way/1205463623-220-a,Parallel Circuit - Simplified Geometry Match (0.86),True,2.821,16.33,0.0002143822826809,56.212,,460134233T,946710698,50HERTZ,Lubmin,Lüdershagen,1200.0,,,,,,,,,264.0,False,,3.813817026273749e-06,True,13_14
