id,EIC_Code,NE_name,v_nom,length_km,r_per_km,x_per_km,b_per_km_uS,PyPSA_ids,match_quality,has_match,r,x,b,length,Comment,bus0,bus1,TSO,CORE-TSO_bus0,CORE-TSO_bus1,Imax,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line,Unnamed: 26,b_per_km,is_parallel_circuit,parallel_group
14,11TD8L314------M,Lubmin - Lüdershagen 314,220,2.5093469273149593,0.0501850138760407,0.29050736497545,,relation/14543718-220,Parallel Circuit - Simplified Geometry Match (0.84),True,2.821,16.33,0.0002143822826809,56.212,,460134233T,946710698,50HERTZ,Lubmin,Lüdershagen,1200.0,,,,,,,,,264.0,False,,3.813817026273749e-06,True,13_14
15,11TD8L315------E,Pasewalk - Güstrow 315,220,123.2206518255858,0.0802041775007774,0.2931779837637204,,way/167854736-220,Parallel Circuit - One-to-One,True,12.1223,44.3118,0.000572398181484,151.143,,943444232,32062544T,50HERTZ,Pasewalk,Güstrow,900.0,,,,,,,,,198.0,False,,3.787129946368671e-06,True,15_16
16,11TD8L316------6,Pasewalk - Güstrow 316,220,123.2206518255858,0.0802041775007774,0.2931779837637204,,way/167854736-220;merged_way/43171099-220+2,Parallel Circuit - Parallel Circuit - 2-Segment Fair Match,True,12.1223,44.3118,0.000572398181484,151.143,,943444232,32062544T,50HERTZ,Pasewalk,Güstrow,900.0,,,,,,,,,198.0,False,,3.787129946368671e-06,True,15_16
17,11TD8L317-276--N,Lüdershagen - Güstrow 317-276,220,65.6833341404352,0.0618558636355103,0.2945803375321482,,relation/1636783-220,Poor Match,True,6.59,31.384,0.0004044486382231,106.538,,946710698,32062544T,50HERTZ,Lüdershagen,Güstrow,1200.0,,,,,,,,,264.0,False,,3.796285252427303e-06,False,
18,11TD8L318------R,Lüdershagen - Bentwisch 318,220,57.37800502337597,0.0717685044912699,0.2968828903273194,,relation/2238161-220,Fair Match,True,4.69,19.401,0.0002473375896171,65.349,,946710698,32318130T,50HERTZ,Lüdershagen,Bentwisch,1200.0,,,,,,,,,264.0,False,,3.784871836096956e-06,False,
19,11TD8L328------I,Parchim/Süd - Güstrow 328,220,32.97916043008574,0.2963338876464629,1.1001968767322283,,merged_way/259468195-1-220+2,Fair Match,True,15.5033,57.559,0.0001962238771432,52.317,,517421342,32062544T,50HERTZ,Parchim/Süd,Güstrow,900.0,,,,,,,,,198.0,False,,3.7506714288510416e-06,False,
20,11TD8L332-322--6,Parchim/Süd - Wolmirstedt 332-322,220,78.38501618044548,0.0680212992996812,0.2869448154508257,,way/259468196-220,Simplified Geometry Match (0.97),True,9.62549,40.6047,0.0005821371187101,141.507,,517421342,26472665T,50HERTZ,Parchim/Süd,Wolmirstedt,900.0,,,,,,,,,198.0,False,,4.1138397302614e-06,False,
21,11TD8L357-----0Y,Eula - Wolkramshausen 357,220,125.39144778910585,0.0767089546142874,0.2944070576259684,,relation/3739953-220,Parallel Circuit - One-to-One,True,12.208,46.854,0.0006000441968356,159.147,,32843531T,157164284,50HERTZ,Eula,Wolkramshausen,1070.0,,,,,,,,,235.4,False,,3.770377052885697e-06,True,21_22
22,11TD8L358------S,Eula - Wolkramshausen 358,220,125.39144778910585,0.0767089546142874,0.2944070576259684,,relation/3739954-220,Parallel Circuit - One-to-One,True,12.208,46.854,0.0006000441968356,159.147,,32843531T,157164284,50HERTZ,Eula,Wolkramshausen,1070.0,,,,,,,,,235.4,False,,3.770377052885697e-06,True,21_22
23,11TD8L367------R,Vieselbach - Wolkramshausen 367,220,40.94727411252596,0.0386839223797067,0.2978587505322708,,relation/3742239-220,Parallel Circuit - One-to-One,True,2.5437,19.586,0.0002456725455107,65.756,,143882655T,157164284,50HERTZ,Vieselbach,Wolkramshausen,1600.0,,,,,,,,,352.0,False,,3.7361236314663297e-06,True,23_24
24,11TD8L368------J,Vieselbach - Wolkramshausen 368,220,40.94727411252596,0.0386839223797067,0.2978587505322708,,relation/3742240-220,Parallel Circuit - One-to-One,True,2.5437,19.586,0.0002456725455107,65.756,,143882655T,157164284,50HERTZ,Vieselbach,Wolkramshausen,1600.0,,,,,,,,,352.0,False,,3.7361236314663297e-06,True,23_24
25,11TD8L415------4,Vieselbach - Remptendorf - Großschwabhausen 415,400,49.12578889623718,0.0387377977226714,0.2531497027609063,,way/39676389-380,Parallel Circuit - One-to-One,True,3.004,19.631,0.0003380982013793,77.547,,143882655,128277645,50HERTZ,Vieselbach,Remptendorf - Großschwabhausen,2720.0,,,,,,,,,1088.0,False,,4.359913360662566e-06,True,25_26
26,11TD8L416------X,Vieselbach - Remptendorf 416,400,49.12578889623718,0.0388938321276129,0.2541813351902717,,way/39676389-380;way/128277649-380,Parallel Circuit - Parallel Circuit - 2-Segment Poor Match,True,3.0161,19.711,0.0003395433339999,77.547,,143882655,128277645,50HERTZ,Vieselbach,Remptendorf,2720.0,,,,,,,,,1088.0,False,,4.378548931614376e-06,True,25_26
27,11TD8L419------9,Krümmel - Görries 419,400,64.25880416681275,0.0252795244083685,0.2561678289699325,,relation/2910798-380,Fair Match,True,2.2112,22.407,0.000389086250147,87.47,,1089911132,30040568,50HERTZ,Krümmel,Görries,2700.0,,,,,,,,,1080.0,False,,4.448225107431119e-06,False,
28,11TD8L420------Z,Krümmel - Wessin 420,400,85.40947480339726,0.0265784726398075,0.255930210642518,,relation/2910799-380,Fair Match,True,2.9614,28.516,0.0004957119048099,111.421,,1089911132,234171369,50HERTZ,Krümmel,Wessin,2700.0,,,,,,,,,1080.0,False,,4.448998885397725e-06,False,
29,11TD8L423------B,Görries - Güstrow 423,400,55.58356780108432,0.0312941801011427,0.2548685423709871,,relation/1022004-380,Fair Match,True,2.2401,18.244,0.000311991566428,71.582,,30040568,32062544,50HERTZ,Görries,Güstrow,2720.0,,,,,,,,,1088.0,False,,4.3585198293984525e-06,False,
30,11TD8L424------3,Wessin - Güstrow 424,400,35.965697901762624,0.0312952465872662,0.2548882236800204,,relation/1022003-380,Fair Match,True,1.4741,12.006,0.000205240248059,47.103,,234171369,32062544,50HERTZ,Wessin,Güstrow,2720.0,,,,,,,,,1088.0,False,,4.357264888839352e-06,False,
31,11TD8L437------7,Wolmirstedt - Förderstedt 437,400,24.62746455615338,0.0276897723761458,0.2634668863940673,,relation/2928164-380,Parallel Circuit - Comprehensive 1:1 (was: relation/2928164-380),True,1.3442,12.79,0.000209554,48.545,,26472665,943939310,50HERTZ,Wolmirstedt,Förderstedt,2520.0,,,,,,,,,1008.0,False,,4.316695849212071e-06,True,31_32
32,11TD8L438-----0Y,Wolmirstedt - Förderstedt 438,400,24.62746455615338,0.0276897723761458,0.2634668863940673,,relation/2928167-380,Parallel Circuit - Comprehensive 1:1 (was: relation/2928167-380),True,1.3442,12.79,0.000209576,48.545,,26472665,943939310,50HERTZ,Wolmirstedt,Förderstedt,2520.0,,,,,,,,,1008.0,False,,4.3171490369760015e-06,True,31_32
33,11TD8L454------D,Eisenach - Vieselbach 454,400,51.527358195617005,0.0261603375527426,0.2621014041640728,,relation/129422-380,Poor Match,True,1.891,18.946,0.0003065251952107,72.285,,948341123,143882655,50HERTZ,Eisenach,Vieselbach,2520.0,,,,,,,,,1008.0,False,,4.240509029683891e-06,False,
34,11TD8L463------C,Altenfeld - Remptendorf 463,400,46.29306598472365,0.0297405443757716,0.2693864809428006,,relation/2952534-380,Parallel Circuit - Comprehensive 1:1 (was: relation/2952534-380),True,1.49458131706003,13.5377482132995,0.0002085389203452,50.254,,149256409,128277645,50HERTZ,Altenfeld,Remptendorf,2370.0,,,,,,,,,948.0,False,,4.149697941361882e-06,True,34_35
35,11TD8L464------4,Altenfeld - Remptendorf 464,400,46.29306598472365,0.0297405443757716,0.2693864809428006,,relation/2952535-380,Parallel Circuit - Comprehensive 1:1 (was: relation/2952535-380),True,1.49458131706003,13.5377482132995,0.0002085389203452,50.254,,149256409,128277645,50HERTZ,Altenfeld,Remptendorf,2370.0,,,,,,,,,948.0,False,,4.149697941361882e-06,True,34_35
36,11TD8L467------H,Vieselbach - Altenfeld 467,400,31.252549357774395,0.020807403576969,0.2586080847345803,,relation/3533700-380-a,Parallel Circuit - One-to-One,True,1.1669,14.503,0.0002676636940858,56.081,,143882655,149256409,50HERTZ,Vieselbach,Altenfeld,3600.0,,,,,,,,,1440.0,False,,4.772805301007472e-06,True,36_37
37,11TD8L468------9,Vieselbach - Altenfeld 468,400,31.252549357774395,0.020807403576969,0.2586080847345803,,relation/7191351-380-a,Parallel Circuit - One-to-One,True,1.1669,14.503,0.0002676636940858,56.081,,143882655,149256409,50HERTZ,Vieselbach,Altenfeld,3600.0,,,,,,,,,1440.0,False,,4.772805301007472e-06,True,36_37
38,11TD8L471------J,Lauchstädt - Vieselbach 471,400,60.75577365749532,0.0182863876826909,0.2517772739499673,,relation/3742241-380,Parallel Circuit - One-to-One,True,1.4276,19.656,0.000358456,78.069,,29713902,143882655,50HERTZ,Lauchstädt,Vieselbach,3600.0,,,,,,,,,1440.0,False,,4.591528007275615e-06,True,38_39
39,11TD8L472------B,Lauchstädt - Vieselbach 472,400,60.75577365749532,0.0182863876826909,0.2517772739499673,,relation/3742242-380,Parallel Circuit - One-to-One,True,1.4276,19.656,0.000361597,78.069,,29713902,143882655,50HERTZ,Lauchstädt,Vieselbach,3600.0,,,,,,,,,1440.0,False,,4.6317616467483895e-06,True,38_39
40,11TD8L475------O,Lubmin - Altentreptow/Nord 475,400,35.59416470598981,0.0272589465604912,0.2637820205315168,,relation/8539040-380-b,Fair Match,True,1.4206,13.747,0.0002195659105593,52.115,,460134233,515358077,50HERTZ,Lubmin,Altentreptow/Nord,2520.0,,,,,,,,,1008.0,False,,4.2131039155579e-06,False,
41,11T0-0000-0007-7,Lubmin - Altentreptow/Süd 476,400,47.51273703176114,0.0235755813953488,0.2590988372093023,,,,False,1.622,17.826,0.0002902831611916,68.8,,460134233,947118608,50HERTZ,Lubmin,Altentreptow/Süd,2520.0,,,,,,,,,1008.0,False,,4.2192319940639535e-06,False,
42,11T0-0000-0008-4,Altentreptow/Nord - Altentreptow/Süd 477,400,12.052350829739236,0.0235581797578577,0.2589610544521977,,way/515358079-380,Fair Match,True,0.395,4.342,7.07800824853781e-05,16.767,,515358077,947118608,50HERTZ,Altentreptow/Nord,Altentreptow/Süd,2520.0,,,,,,,,,1008.0,False,,4.221392168269702e-06,False,
43,11TD8L479------T,Altentreptow/Süd - Gransee 479,400,42.20709387789673,0.0235559941824226,0.2589081653854145,,way/786985537-380,Poor Match,True,1.814,19.938,0.0003252490874261,77.008,,947118608,518455594,50HERTZ,Altentreptow/Süd,Gransee,2520.0,,,,,,,,,1008.0,False,,4.223575309397725e-06,False,
44,,Stendal/West - Wolmirstedt 487,400,21.17161431823564,0.0156955225350492,0.249473186781238,,relation/1173397-380,Parallel Circuit - One-to-One,True,0.584579736817909,9.29162884166721,0.000172473436682,37.245,,33169401,26472665,50HERTZ,Stendal/West,Wolmirstedt,3600.0,,,,,,,,,1440.0,False,,4.630780955349711e-06,True,44_45_46_47
45,11T0-0000-0980-P,Stendal/West - Wolmirstedt 488,400,21.17161431823564,0.0156955225350492,0.249473186781238,,relation/2188188-380,Parallel Circuit - One-to-One,True,0.584579736817909,9.29162884166721,0.000172473436682,37.245,,33169401,26472665,50HERTZ,Stendal/West,Wolmirstedt,3600.0,,,,,,,,,1440.0,False,,4.630780955349711e-06,True,44_45_46_47
46,11TD8L489------K,Stendal/West - Wolmirstedt 489,400,21.17161431823564,0.0317465431601557,0.2585581957309706,,relation/2188188-380,Parallel Circuit - Parallel Circuit - Fair Match,True,1.1824,9.63,0.0001608181279372,37.245,,33169401,26472665,50HERTZ,Stendal/West,Wolmirstedt,2520.0,,,,,,,,,1008.0,False,,4.317844755999464e-06,True,44_45_46_47
47,11TD8L490------9,Stendal/West - Wolmirstedt 490,400,21.17161431823564,0.0317465431601557,0.2585581957309706,,relation/2188188-380,Parallel Circuit - Parallel Circuit - Fair Match,True,1.1824,9.63,0.0001608181279372,37.245,,33169401,26472665,50HERTZ,Stendal/West,Wolmirstedt,2520.0,,,,,,,,,1008.0,False,,4.317844755999464e-06,True,44_45_46_47
48,11TD8L493------M,Wolmirstedt - Teufelsbruch 493,400,108.61125061574623,0.0294629291703176,0.2668713875736553,,merged_way/30132577-1-380+2;way/381739502-380,2-Segment Fair Match,True,3.6651,33.198,0.0005186769471076,124.397,,26472665,30132758,50HERTZ,Wolmirstedt,Teufelsbruch,2400.0,,,,,,,,,960.0,False,,4.169529386621863e-06,False,
49,11TD8L494------E,Wolmirstedt - Wustermark 494,400,90.56877383976169,0.0305831724349922,0.2684264622537294,,merged_way/971780154-2-380-b+2,Simplified Geometry Match (0.41),True,3.1838,27.944,0.0004344194321383,104.103,,26472665,27149550,50HERTZ,Wolmirstedt,Wustermark,2500.0,,,,,,,,,1000.0,False,,4.172977072114156e-06,False,
50,11TD8L495------6,Neuenhagen - Marzahn 495,400,12.575779788275945,0.0449075987483025,0.2546791049182264,,relation/252583-380,Parallel Circuit - One-to-One,True,0.7606,4.3135,7.19424717672063e-05,16.937,,137197826,22973070,50HERTZ,Neuenhagen,Marzahn,2280.0,,,,,,,,,912.0,False,,4.2476514003192e-06,True,50_51
51,11TD8L496------Z,Neuenhagen - Marzahn 496,400,12.575779788275945,0.0449075987483025,0.2546791049182264,,relation/252584-380,Parallel Circuit - One-to-One,True,0.7606,4.3135,7.19424717672063e-05,16.937,,137197826,22973070,50HERTZ,Neuenhagen,Marzahn,2400.0,,,,,,,,,960.0,False,,4.2476514003192e-06,True,50_51
52,11TD8L498------J,Wustermark - Teufelsbruch 498,400,18.180062173422954,0.0242457005777612,0.2613710849072541,,merged_way/233500126-1-380+2;way/381739502-380,2-Segment Poor Match,True,0.7176,7.7358,0.0001298106084463,29.597,,27149550,30132758,50HERTZ,Wustermark,Teufelsbruch,2400.0,,,,,,,,,960.0,False,,4.38593804933946e-06,False,
53,11TD8L499------B,Jessen/Nord - Lauchstädt 499,400,84.78986850057971,0.0326826355511614,0.2488195620466536,,relation/907513-380,Fair Match,True,3.33876,25.41866,0.0004645787216128,102.157,,398680313,29713902,50HERTZ,Jessen/Nord,Lauchstädt,2040.0,,,,,,,,,816.0,False,,4.54769346802275e-06,False,
54,11TD8L500------6,Jessen/Nord - Marke 500,400,54.94440923974104,0.0321391450125733,0.2503995529477507,,relation/11223311-380,Poor Match,True,3.45078,26.8854,0.0004905911087845,107.37,,398680313,946025110,50HERTZ,Jessen/Nord,Marke,2040.0,,,,,,,,,816.0,False,,4.569163721565614e-06,False,
55,11T0-0000-0040-C,Ragow - Schönewalde 501,400,51.12754409798635,0.0314519530047414,0.2489142098709886,,relation/902597-380,Fair Match,True,1.69849981811505,13.442114075663,0.000246772,54.003,,940922557,28729619,50HERTZ,Ragow,Schönewalde,2040.0,,,,,,,,,816.0,False,,4.569597985297113e-06,False,
56,11TD8L502-----1N,Ragow - Jessen/Nord 502,400,58.09425622238337,0.0314816613253051,0.2500728367485675,,relation/3302864-380,Fair Match,True,1.945,15.45,0.00029028,61.782,,940922557,398680313,50HERTZ,Ragow,Jessen/Nord,2040.0,,,,,,,,,816.0,False,,4.698455860930369e-06,False,
57,11TD8L503-----1F,Schönewalde - Jessen/Nord 503,400,7.09579043588183,0.0318810511756569,0.2592053313215138,,relation/11223312-380,Good Match,True,0.25355,2.06146,3.62853951489621e-05,7.953,,28729619,398680313,50HERTZ,Schönewalde,Jessen/Nord,2040.0,,,,,,,,,816.0,False,,4.562478957495548e-06,False,
58,11TD8L504------B,Marke - Lauchstädt 504,400,34.28531511712828,0.0413578912193108,0.2502113105183496,,relation/902595-380,Fair Match,True,2.104,12.729,0.0002301530778019,50.873,,946025110,29713902,50HERTZ,Marke,Lauchstädt,2040.0,,,,,,,,,816.0,False,,4.5240712716352485e-06,False,
59,11TD8L509------8,Lubmin - Siedenbrünzow 509,400,38.46585507775698,0.0282946357085668,0.2569522284494262,,relation/14459971-380,Parallel Circuit - One-to-One,True,1.5903,14.442,0.0002431278554613,56.205,,460134233,941453716,50HERTZ,Lubmin,Siedenbrünzow,2520.0,,,,,,,,,1008.0,False,,4.3257335728369365e-06,True,59_60
60,11TD8L510------Y,Lubmin - Siedenbrünzow 510,400,38.46585507775698,0.0282946357085668,0.2569522284494262,,relation/912407-380,Parallel Circuit - One-to-One,True,1.5903,14.442,0.0002431278554613,56.205,,460134233,941453716,50HERTZ,Lubmin,Siedenbrünzow,2520.0,,,,,,,,,1008.0,False,,4.3257335728369365e-06,True,59_60
61,11TD8L512------I,Siedenbrünzow - Güstrow 512,400,62.89088543010969,0.0359498349552937,0.267543344265097,,merged_way/30416989-380+1;relation/145510-380-d,2-Segment Poor Match,True,3.3653,25.045,0.0003869185512161,93.611,,941453716,32062544,50HERTZ,Siedenbrünzow,Güstrow,2500.0,,,,,,,,,1000.0,False,,4.133259458996272e-06,False,
62,11TD8L513------A,Siedenbrünzow - Putlitz/Süd 513,400,80.82153885798148,0.0237305224564619,0.2572410632447296,,merged_way/30416989-380+1;relation/145510-380-b,2-Segment Fair Match,True,2.589,28.065,0.0004645787216128,109.1,,941453716,851299584,50HERTZ,Siedenbrünzow,Putlitz/Süd,2500.0,,,,,,,,,1000.0,False,,4.258283424498625e-06,False,
63,11TD8L514-----1Z,Güstrow - Putlitz/Süd 514,400,37.71668283755781,0.0287337986041874,0.2634995014955134,,,,False,2.882,26.429,0.00042223,100.3,,32062544,851299584,50HERTZ,Güstrow,Putlitz/Süd,2520.0,,,,,,,,,1008.0,False,,4.209670987038884e-06,False,
64,11TD8L516------N,Perleberg - Stendal/West 516,400,35.787083537262276,0.0324424499953668,0.2564764438796447,,way/30419417-380;way/41036073-380,2-Segment Poor Match,True,2.4508,19.375,0.0003247778485281,75.543,,59707532,33169401,50HERTZ,Perleberg,Stendal/West,2520.0,,,,,,,,,1008.0,False,,4.299244781490012e-06,False,
65,11TD8L517-----1B,Gransee - Neuenhagen 517,400,42.86225256351716,0.0235921501706484,0.2591723549488055,,way/617568394-380;way/32950166-1-380;way/998005837-1-380;way/729102365-380;way/74003846-380,5-Segment Fair Match,True,1.659,18.225,0.0002964092668661,70.32,,518455594,137197826,50HERTZ,Gransee,Neuenhagen,2040.0,,,,,,,,,816.0,False,,4.215148846218715e-06,False,
66,11T0-0000-0010-O,Altentreptow/Süd - Malchow 518,400,72.19488690871773,0.0235407048498423,0.2586430193049017,,way/786985537-380;way/617568394-380,2-Segment Poor Match,True,3.09,33.95,0.0005532344662971,131.262,,947118608,940636813,50HERTZ,Altentreptow/Süd,Malchow,2040.0,,,,,,,,,816.0,False,,4.214734396071216e-06,False,
67,11TD8L520------P,Neuenhagen - Malchow 520,400,14.894846980958226,0.0235703567855951,0.2590155051683894,,way/74003846-380;way/729102365-380;way/30151837-380,3-Segment Fair Match,True,0.5655,6.2143,0.000101127867519,23.992,,137197826,940636813,50HERTZ,Neuenhagen,Malchow,2040.0,,,,,,,,,816.0,False,,4.215066168681227e-06,False,
68,11TD8L521-525--G,Wustermark - Ragow 521-525,400,80.25019085521173,0.0306205493387589,0.2495429825836208,,merged_way/208256287-1-380+2;merged_way/156684001-380+3,2-Segment Poor Match,True,4.0033,32.625,0.0005854357909964,130.739,,27149550,940922557,50HERTZ,Wustermark,Ragow,2504.0,,,,,,,,,1001.6,False,,4.477897115599783e-06,False,
69,11TD8L522------9,Thyrow - Ragow 522,400,47.333452549744116,0.0315173775160183,0.2488835674066403,,merged_way/156684001-380+3,Fair Match,True,1.9479,15.382,0.0002779681179896,61.804,,29331499,940922557,50HERTZ,Thyrow,Ragow,2504.0,,,,,,,,,1001.6,False,,4.497574881716393e-06,False,
70,11TD8L526------E,Wustermark - Thyrow 526,220,33.35773800475722,0.0297105414746543,0.2492223502304147,,merged_way/208256287-2-220+2,Poor Match,True,2.0631,17.306,0.0003125256371791,69.44,,27149550T,29331499T,50HERTZ,Wustermark,Thyrow,1290.0,,,,,,,,,283.8,False,,4.500657217440956e-06,False,
71,11TD8L531------8,Förderstedt - Ragow 531,400,154.79999942548957,0.0277875001393332,0.2602465640431153,,relation/2928166-380,Fair Match,True,4.9858,46.695,0.0007656061296798,179.426,,943939310,940922557,50HERTZ,Förderstedt,Ragow,2520.0,,,,,,,,,1008.0,False,,4.2669742940253925e-06,False,
72,11T0-0000-0042-6,Förderstedt - Jessen/Nord 533,400,97.36008651774738,0.0276731914893617,0.2594987234042553,,relation/2928165-380,Poor Match,True,3.2516,30.4911,0.0005270964154192,117.5,,943939310,398680313,50HERTZ,Förderstedt,Jessen/Nord,2520.0,,,,,,,,,1008.0,False,,4.4859269397378725e-06,False,
73,11TD8L535------D,Lauchstädt - Wolmirstedt 535,400,61.7534017888057,0.0349452883625128,0.261903964984552,,relation/904160-380,Poor Match,True,5.4291,40.6894,0.0006766990575832,155.36,,29713902,26472665,50HERTZ,Lauchstädt,Wolmirstedt,2520.0,,,,,,,,,1008.0,False,,4.355683944279094e-06,False,
74,11TD8L536------5,Wolmirstedt - Klostermansfeld 536,400,47.68302820979397,0.0331032187595999,0.2584052974707307,,relation/904158-380,Poor Match,True,3.8793,30.282,0.0005040057094154,117.188,,26472665,32690742,50HERTZ,Wolmirstedt,Klostermansfeld,2520.0,,,,,,,,,1008.0,False,,4.300830370135167e-06,False,
75,11TD8L538------Q,Klostermansfeld - Lauchstädt 538,400,28.904291763341014,0.0356264025381103,0.2600737702803787,,relation/904159-380,Fair Match,True,1.3812,10.0828,0.0001696145873673,38.769,,32690742,29713902,50HERTZ,Klostermansfeld,Lauchstädt,2500.0,,,,,,,,,1000.0,False,,4.375005477760582e-06,False,
76,11TD8L539------I,Ragow - Preilack 539,400,36.14974361580432,0.0312413122046149,0.250810860902604,,relation/3885041-380,Parallel Circuit - Comprehensive 1:1 (was: relation/3885041-380),True,1.3485,10.826,0.0001915743200159,43.164,,940922557,941198517,50HERTZ,Ragow,Preilack,2280.0,,,,,,,,,912.0,False,,4.438289315538411e-06,True,76_77
