pypsa_id,voltage,bus0,bus1,length_km,reasons_unmatched
relation/2927599-380-a,380,way/157806991-380,DE99-380,6.42783,Unknown (may be duplicate path or parallel circuit)
relation/2927600-380-a,380,way/157806991-380,DE99-380,6.42783,Unknown (may be duplicate path or parallel circuit)
relation/2927597-380,380,way/157806991-380,DE99-380,5.97409,Unknown (may be duplicate path or parallel circuit)
relation/2927598-380,380,way/157806991-380,DE99-380,5.97409,Unknown (may be duplicate path or parallel circuit)
relation/1659072-380,380,way/121199242-380,way/425100082-380,5.90325,Unknown (may be duplicate path or parallel circuit)
way/1241983642-1-380,380,DE157-380,way/93341407-380,5.85962,Unknown (may be duplicate path or parallel circuit)
merged_way/908473140-380+1,380,DE147-380,way/152403632-380,5.76117,Unknown (may be duplicate path or parallel circuit)
way/844126090-380,380,way/311444691-380,way/799361667-380,5.6097399999999995,No nearby JAO lines
relation/3862869-380,380,way/24604789-380,way/202164315-380,5.35996,Unknown (may be duplicate path or parallel circuit)
relation/12006830-380,380,way/31024391-380,way/1134105414-380,5.18417,Unknown (may be duplicate path or parallel circuit)
relation/1109593-380-b,380,DE69-380,DE75-380,4.88621,Unknown (may be duplicate path or parallel circuit)
relation/1109599-380-b,380,DE69-380,DE75-380,4.88621,Unknown (may be duplicate path or parallel circuit)
relation/14595857-380-c,380,DE161-380,DE162-380,4.88054,Unknown (may be duplicate path or parallel circuit)
merged_way/284925905-380+1,380,DE75-380,DE69-380,4.86608,Unknown (may be duplicate path or parallel circuit)
merged_way/364135875-380+4,380,way/22761692-380,way/22761839-380,4.85097,Unknown (may be duplicate path or parallel circuit)
way/157332865-380,380,DE149-380,way/36183042-380,4.58015,No nearby JAO lines
way/41374777-380,380,DE127-380,way/24839976-380,4.44552,Unknown (may be duplicate path or parallel circuit)
merged_way/41374778-1-380+2,380,DE127-380,way/24839976-380,4.405279999999999,Unknown (may be duplicate path or parallel circuit)
relation/1084358-380,380,way/870598507-380,way/26593935-380,4.36728,Unknown (may be duplicate path or parallel circuit)
relation/11518116-380,380,way/29713902-380,DE103-380,4.232609999999999,Unknown (may be duplicate path or parallel circuit)
relation/11518117-380,380,way/29713902-380,DE103-380,4.232609999999999,Unknown (may be duplicate path or parallel circuit)
