matched,jao_id,pypsa_ids,path_length,length_ratio,match_quality,is_geometric_match,is_parallel_circuit,is_duplicate,locked_by_corridor,jao_r,jao_x,jao_b,jao_length_km,matched_lines_data,allocated_r_sum,allocated_x_sum,allocated_b_sum,forced_unmatched,jao_name,jao_voltage,jao_length,match_score,electrical_score,geometric_score,direction_score,parallel_group,segments,match_details,manual_match
True,244,relation/1641463-380-a;relation/1641463-380-b;relation/1641463-380-c;relation/1641463-380-e,46.75085,1.5861085121721978,Exact Multi-Segment Circuit (4 segments),True,True,False,True,1.225,11.65,0.0002018,46.3014855913786,"[{'network_id': 'relation/1641463-380-a', 'length_km': 1.49238, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.044771, 'original_x': 0.367125, 'original_b': 6.47e-06, 'allocated_r': 0.039104433395328646, 'allocated_x': 0.3718911420861867, 'allocated_b': 6.441856864634547e-06, 'allocated_r_per_km': 0.026457034463449196, 'allocated_x_per_km': 0.25161179714219034, 'allocated_b_per_km': 4.35839147324412e-06}, {'network_id': 'relation/1641463-380-b', 'length_km': 4.4867799999999995, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.134603, 'original_x': 1.103748, 'original_b': 1.945e-05, 'allocated_r': 0.11756589452384288, 'allocated_x': 1.1180756499614444, 'allocated_b': 1.9367181644825706e-05, 'allocated_r_per_km': 0.026457034463449196, 'allocated_x_per_km': 0.25161179714219034, 'allocated_b_per_km': 4.35839147324412e-06}, {'network_id': 'relation/1641463-380-c', 'length_km': 19.6365, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.589095, 'original_x': 4.830579, 'original_b': 8.513e-05, 'allocated_r': 0.5145299497228394, 'allocated_x': 4.89328482797639, 'allocated_b': 8.476093375842366e-05, 'allocated_r_per_km': 0.026457034463449196, 'allocated_x_per_km': 0.25161179714219034, 'allocated_b_per_km': 4.35839147324412e-06}, {'network_id': 'relation/1641463-380-e', 'length_km': 21.135189999999998, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.634056, 'original_x': 5.199257, 'original_b': 9.163e-05, 'allocated_r': 0.5537997223579891, 'allocated_x': 5.2667483799759784, 'allocated_b': 9.123002773211609e-05, 'allocated_r_per_km': 0.026457034463449196, 'allocated_x_per_km': 0.25161179714219034, 'allocated_b_per_km': 4.35839147324412e-06}]",1.225,11.649999999999999,0.0002018,,,,,,,,,,,,
True,245,relation/1641474-380-a;relation/1641474-380-b;relation/1641474-380-c;relation/1641474-380-e,,,"Parallel Circuit Match (pattern, parallel to JAO 244)",False,False,False,True,1.255,11.61,0.0002015,46.1875597047057,"[{'network_id': 'relation/1641474-380-a', 'length_km': 1.49238, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.044771, 'original_x': 0.367125, 'original_b': 6.47e-06, 'allocated_r': 0.04006209298868362, 'allocated_x': 0.37061426262838, 'allocated_b': 6.432280268700996e-06, 'allocated_r_per_km': 0.02717181873265622, 'allocated_x_per_km': 0.2513663868415448, 'allocated_b_per_km': 4.36264659333086e-06}, {'network_id': 'relation/1641474-380-b', 'length_km': 4.4867799999999995, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.134603, 'original_x': 1.103748, 'original_b': 1.945e-05, 'allocated_r': 0.12044505928769207, 'allocated_x': 1.1142367636096453, 'allocated_b': 1.9338389997187214e-05, 'allocated_r_per_km': 0.02717181873265622, 'allocated_x_per_km': 0.2513663868415448, 'allocated_b_per_km': 4.36264659333086e-06}, {'network_id': 'relation/1641474-380-c', 'length_km': 19.6365, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.589095, 'original_x': 4.830579, 'original_b': 8.513e-05, 'allocated_r': 0.5271306831854394, 'allocated_x': 4.876483850026257, 'allocated_b': 8.463492642379765e-05, 'allocated_r_per_km': 0.02717181873265622, 'allocated_x_per_km': 0.2513663868415448, 'allocated_b_per_km': 4.36264659333086e-06}, {'network_id': 'relation/1641474-380-e', 'length_km': 21.135189999999998, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.634056, 'original_x': 5.199257, 'original_b': 9.163e-05, 'allocated_r': 0.5673621645381848, 'allocated_x': 5.248665123735718, 'allocated_b': 9.109440331031413e-05, 'allocated_r_per_km': 0.02717181873265622, 'allocated_x_per_km': 0.2513663868415448, 'allocated_b_per_km': 4.36264659333086e-06}]",1.255,11.61,0.0002015,True,,,,,,,,,,,
True,0,relation/2247305-220,38.93379631010914,1.3223363728020165,Fair Match,,False,,,4.0937,18.349,0.0001611637031291,51.511,"[{'network_id': 'relation/2247305-220', 'length_km': 51.86744, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 3.112046, 'original_x': 15.612099, 'original_b': 0.00020368, 'allocated_r': 4.0937, 'allocated_x': 18.349, 'allocated_b': 0.0001611637031291, 'allocated_r_per_km': 0.07947234571256624, 'allocated_x_per_km': 0.35621517734076213, 'allocated_b_per_km': 3.12872402261847e-06}]",4.0937,18.349,0.0001611637031291,,Eula - Röhrsdorf 203,220.0,29.443186401663322,0.4254805967436708,0.0009516991469370462,0.35846754295242017,0.9999894543227053,,1.0,,
True,1,relation/2247304-220,77.72215223288248,1.4314598966332182,Parallel Circuit - One-to-One,,True,,,7.5895,31.888,0.0003487167845484,98.324,"[{'network_id': 'relation/2247304-220', 'length_km': 98.57964, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 5.914778, 'original_x': 29.672472, 'original_b': 0.00038712, 'allocated_r': 7.5895, 'allocated_x': 31.888, 'allocated_b': 0.0003487167845484, 'allocated_r_per_km': 0.07718868231560962, 'allocated_x_per_km': 0.32431552825352916, 'allocated_b_per_km': 3.546609012534071e-06}]",7.5895,31.888,0.0003487167845484,,Röhrsdorf - Weida 207,220.0,54.29572453666662,0.3651006358718646,0.0009375576362725679,0.20425942584182338,0.9999980678267847,1_106,1.0,,
True,100,relation/3306342-380,69.02364614734843,1.3626355453212655,Parallel Circuit - One-to-One,,True,,,2.9365,22.6101,0.0003850021796974,88.719,"[{'network_id': 'relation/3306342-380', 'length_km': 88.97006, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 2.669102, 'original_x': 21.886635, 'original_b': 0.00038572, 'allocated_r': 2.9365, 'allocated_x': 22.6101, 'allocated_b': 0.0003850021796974, 'allocated_r_per_km': 0.03309888524442341, 'allocated_x_per_km': 0.25485070841646096, 'allocated_b_per_km': 4.339568521933295e-06}]",2.9365,22.6101,0.0003850021796974,,Ragow - Streumen 561,400.0,50.65451755192169,0.34797694649932287,0.0009568944567469595,0.08067657001710549,0.9999999999971909,100_101,1.0,,
True,101,relation/3306343-380,69.02364614734843,1.3626355453212655,Parallel Circuit - One-to-One,,,,,2.9365,22.6101,0.0003850021796974,88.719,"[{'network_id': 'relation/3306343-380', 'length_km': 88.97006, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 2.669102, 'original_x': 21.886635, 'original_b': 0.00038572, 'allocated_r': 2.9365, 'allocated_x': 22.6101, 'allocated_b': 0.0003850021796974, 'allocated_r_per_km': 0.03309888524442341, 'allocated_x_per_km': 0.25485070841646096, 'allocated_b_per_km': 4.339568521933295e-06}]",2.9365,22.6101,0.0003850021796974,,Ragow - Streumen 562,400.0,,,,,,,,,
True,102,relation/919059-380,16.32823478557002,1.6302239814783896,Parallel Circuit - Comprehensive 1:1 (was: relation/919059-380),,True,,,0.6666,5.5904,9.64154785386708e-05,21.801,"[{'network_id': 'relation/919059-380', 'length_km': 21.90436, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.657131, 'original_x': 5.388473, 'original_b': 9.496e-05, 'allocated_r': 0.6666, 'allocated_x': 5.5904, 'allocated_b': 9.64154785386708e-05, 'allocated_r_per_km': 0.030576579056006605, 'allocated_x_per_km': 0.25642860419246827, 'allocated_b_per_km': 4.422525505191083e-06}]",0.6666,5.5904,9.64154785386708e-05,,Graustein - Bärwalde 565,400.0,10.015945643716117,0.38843671648905986,0.0009735771604962862,0.45656304311427415,0.9999999999999777,102_103,1.0,,
True,103,relation/919060-380,16.32823478557002,1.6302239814783896,Parallel Circuit - Comprehensive 1:1 (was: relation/919060-380),,,,,0.6666,5.5904,9.64154785386708e-05,21.801,"[{'network_id': 'relation/919060-380', 'length_km': 21.90436, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 0.657131, 'original_x': 5.388473, 'original_b': 9.496e-05, 'allocated_r': 0.6666, 'allocated_x': 5.5904, 'allocated_b': 9.64154785386708e-05, 'allocated_r_per_km': 0.030576579056006605, 'allocated_x_per_km': 0.25642860419246827, 'allocated_b_per_km': 4.422525505191083e-06}]",0.6666,5.5904,9.64154785386708e-05,,Graustein - Bärwalde 566,400.0,,,,,,,,,
True,104,relation/2247028-380,66.94816764097656,1.271273967837458,Parallel Circuit - One-to-One,,True,,,2.6478,19.844,0.0003857875778608,82.808,"[{'network_id': 'relation/2247028-380', 'length_km': 83.05596000000001, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 2.491679, 'original_x': 20.431766, 'original_b': 0.00036008, 'allocated_r': 2.6478, 'allocated_x': 19.844, 'allocated_b': 0.0003857875778608, 'allocated_r_per_km': 0.03197517148101633, 'allocated_x_per_km': 0.23963868225292242, 'allocated_b_per_km': 4.658820136469906e-06}]",2.6478,19.844,0.0003857875778608,,Streumen - Röhrsdorf 571,400.0,52.662265833116145,0.3991834085831436,0.000965116784832798,0.2124018514116753,0.9999997421151243,104_105,1.0,,
True,105,relation/2247029-380,66.94816764097656,1.271273967837458,Parallel Circuit - One-to-One,,,,,2.6478,19.844,0.0003857875778608,82.808,"[{'network_id': 'relation/2247029-380', 'length_km': 83.05596000000001, 'num_parallel': 1, 'allocation_status': 'Applied', 'original_r': 2.491679, 'original_x': 20.431766, 'original_b': 0.00036008, 'allocated_r': 2.6478, 'allocated_x': 19.844, 'allocated_b': 0.0003857875778608, 'allocated_r_per_km': 0.03197517148101633, 'allocated_x_per_km': 0.23963868225292242, 'allocated_b_per_km': 4.658820136469906e-06}]",2.6478,19.844,0.0003857875778608,,Streumen - Röhrsdorf 572,400.0,,,,,,,,,
