jao_id,jao_name,jao_voltage,jao_length_km,pypsa_count,pypsa_ids,pypsa_path_length,length_ratio,overall_score,quality_rating,match_quality,param_r_diff,param_x_diff,param_b_diff,spatial_hausdorff_distance,spatial_iou
2669,Vierraden - Krajnik 508,400,25.95,1,relation/2239286-400,25.54127,0.9842493256262043,0.5941011325896224,Fair,Parallel Circuit - One-to-One,-0.9977757145760008,-0.9981708597211236,-0.9980323906157661,,
237,Y-Gremberghoven (-Siegburg - Stockem) GREMBG O ,220,12.243948553584,1,merged_way/31911224-220+5,12.21451,0.9975956650376988,0.5992519166491089,Fair,Fair Match,-0.9994855488012823,-0.9995101768998126,-0.9977995147884627,,
466,Y-Huellen (-Kusenhorst - Mengede) WESTFL W ,400,4.61302194470866,1,merged_way/105572022-1-380+2,4.08687,0.8859420243356573,0.5545771624948754,Fair,Fair Match,-0.9989672347353205,-0.9990225638451136,-0.999004910010379,,
306,Gundelfingen - Meitingen MEITGN N ,400,39.4604158251601,1,relation/1641773-380,39.78722,1.0082818228851893,0.5968917791111364,Fair,Parallel Circuit - Comprehensive 1:1 (was: relation/1641773-380),-0.9989048909607129,-0.9990273284394817,-0.9990001566216231,,
2514,Y-Rhede (-Doerpen/W - Diele) schwarz,400,5.218,1,way/61910372-380,5.25209,1.0065331544653124,0.5976031020185409,Fair,Fair Match,-0.9994328286067263,-0.9995840480035942,-0.9977376663196927,,
163,Bergmannsglueck - Buescherhof BUER S ,220,17.4135108592674,3,merged_way/72658499-1-220+1;merged_way/72658449-220+5;merged_way/81354098-2-220+2,16.49223,0.9470939050308113,0.60320889494375,Fair,3-Segment Fair Match,,,,0.035205196625650276,0.3109283323285636
338,Y-Opladen (-Eiberg - Ohligs) OERKHS O ,400,17.8727528844663,2,merged_way/24428845-1-380+1;merged_way/60924231-1-380+6,18.05269,1.01006767769335,0.5422900194808086,Fair,2-Segment Poor Match,,,,0.06747001420959316,0.11579272639537122
2536,Dettingen - Grosskrotzenburg US1,400,6.64105532266762,1,relation/1641757-380,4.19595,0.6318197629943165,0.4533327020562662,Poor,Simplified Geometry Match (0.92),-0.9967339201915557,-0.9971033686450442,-0.9970907582853064,,
2588,Dellmensingen - Rotensohl bl,400,67.1,2,way/31105066-380;merged_way/54902235-380+1,67.38704,1.0042777943368109,0.508511805262834,Fair,2-Segment Poor Match,,,,0.14355747591323573,0.025557307493895804
40,Lubmin - Altentreptow/Nord 475,400,52.115,1,relation/8539040-380-b,52.09383999999999,0.9995939748632829,0.6000417354466412,Fair,Fair Match,-0.9988994440377877,-0.9990674117727397,-0.9989709616695527,,
3,Bentwisch - Güstrow 275,220,41.418,1,relation/1000670-380,35.00466,0.8451557293930175,0.5382377553794016,Fair,Parallel Circuit - One-to-One,-0.999349114595787,-0.9991548048466163,-0.9988641262246797,,
86,Eisenhüttenstadt (Abzweig) - Eisenhüttenstadt 548-2,400,7.526,1,way/156960657-380,7.56555,1.005255115599256,0.5980725536735001,Fair,Parallel Circuit - Parallel Circuit - Fair Match,-0.9997751200173169,-0.9994908149900054,-0.9981150662946404,,
32,Wolmirstedt - Förderstedt 438,400,48.545,1,relation/2928167-380,47.286199999999994,0.9740694201256564,0.5898291907997212,Fair,Parallel Circuit - Comprehensive 1:1 (was: relation/2928167-380),-0.9989165674750782,-0.9990662963413077,-0.9989957949417357,,
38,Lauchstädt - Vieselbach 471,400,78.069,1,relation/3742241-380,77.8065,0.9966375898243861,0.598892491225497,Fair,Parallel Circuit - One-to-One,-0.998359435416083,-0.9990229459706963,-0.9990557891770816,,
105,Streumen - Röhrsdorf 572,400,82.808,1,relation/2247029-380,83.05596000000001,1.0029943966766497,0.5989952646863067,Fair,Parallel Circuit - One-to-One,-0.9990617719618541,-0.9989734545534937,-0.9990694231301539,,
412,Kriftel - Frankfurt TAUNUS 2    ,400,4.96774563924254,1,relation/14595857-380-e,7.365600000000001,1.482684608852694,0.4071349898320179,Poor,Simplified Geometry Match (0.98),-0.9988535971601749,-0.999123967242269,-0.9988899350011238,,
2603,Grafenrheinfeld - Stalldorf rt (416),400,54.439,1,relation/3694018-380,54.14342,0.9945704366355003,0.5982732558346797,Fair,Fair Match,-0.997208255722763,-0.9980271075901225,-0.9980884189799202,,
2463,Ingolstadt - Sittling 227,220,24.376,1,relation/3749848-220,24.31523,0.9975069740728585,0.5992097874855444,Fair,Parallel Circuit - Parallel Circuit - Fair Match,-0.9989245880878677,-0.998996419673174,-0.9989740243929431,,
29,Görries - Güstrow 423,400,71.582,1,relation/1022004-380,71.15792,0.9940756055991731,0.5978248122473119,Fair,Fair Match,-0.999041355117011,-0.9990347965534921,-0.9990052982148584,,
31,Wolmirstedt - Förderstedt 437,400,48.545,1,relation/2928164-380,47.286199999999994,0.9740694201256564,0.5898291978281438,Fair,Parallel Circuit - Comprehensive 1:1 (was: relation/2928164-380),-0.9989165674750782,-0.9990662963413077,-0.9989956895153956,,
