id,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Imax,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line,Unnamed: 26,r_per_km,x_per_km,b_per_km
10,Neuenhagen - Vierraden 304,7.9376,29.701,0.0003759858087816,100.756,,"LINESTRING (13.710163845494781 52.539128259959746, 14.26863897498504 53.09783446596166)",137197826T,170123812T,11TD8L304------V,50HERTZ,Neuenhagen,Vierraden,220,1070.0,,,,,,,,,235.4,False,,0.07878042002461391,0.29478145222120766,3.731646837722815e-06
11,Bertikow - Pasewalk 305,2.2852,8.7795,0.0001099871588021,29.471,,"LINESTRING (13.95682653407757 53.252375024908, 14.033670663639292 53.507577449369755)",30039908,943444232,11TD8L305------N,50HERTZ,Bertikow,Pasewalk,220,900.0,,,,,,,,,198.0,False,,0.07754063316480608,0.29790302331105156,3.7320470564996097e-06
12,Vierraden - Pasewalk 306,4.9243,18.121,0.0002309070600388,61.885,,"LINESTRING (14.26863897498504 53.09783446596166, 14.033670663639292 53.507577449369755)",170123812T,943444232,11TD8L306------F,50HERTZ,Vierraden,Pasewalk,220,1070.0,,,,,,,,,235.4,False,,0.07957178637795911,0.2928173224529369,3.7312282465670197e-06
13,Lubmin - Lüdershagen 313,2.821,16.33,0.0002143822826809,56.212,,"MULTILINESTRING ((13.685367373727466 54.138808500639506, 13.667249080560596 54.14322888193264), (13.098667220143062 54.28014070451906, 13.079236593770942 54.28475789640468))",460134233T,946710698,11TD8L313------U,50HERTZ,Lubmin,Lüdershagen,220,1200.0,,,,,,,,,264.0,False,,0.050185013876040706,0.29050736497545004,3.813817026273749e-06
14,Lubmin - Lüdershagen 314,2.821,16.33,0.0002143822826809,56.212,,"MULTILINESTRING ((13.685367373727466 54.138808500639506, 13.667249080560596 54.14322888193264), (13.098667220143062 54.28014070451906, 13.079236593770942 54.28475789640468))",460134233T,946710698,11TD8L314------M,50HERTZ,Lubmin,Lüdershagen,220,1200.0,,,,,,,,,264.0,False,,0.050185013876040706,0.29050736497545004,3.813817026273749e-06
15,Pasewalk - Güstrow 315,12.1223,44.3118,0.000572398181484,151.143,,"LINESTRING (14.033670663639292 53.507577449369755, 12.187783572738448 53.8165047334634)",943444232,32062544T,11TD8L315------E,50HERTZ,Pasewalk,Güstrow,220,900.0,,,,,,,,,198.0,False,,0.08020417750077741,0.29317798376372045,3.787129946368671e-06
16,Pasewalk - Güstrow 316,12.1223,44.3118,0.000572398181484,151.143,,"LINESTRING (14.033670663639292 53.507577449369755, 12.187783572738448 53.8165047334634)",943444232,32062544T,11TD8L316------6,50HERTZ,Pasewalk,Güstrow,220,900.0,,,,,,,,,198.0,False,,0.08020417750077741,0.29317798376372045,3.787129946368671e-06
17,Lüdershagen - Güstrow 317-276,6.59,31.384,0.0004044486382231,106.538,,"LINESTRING (13.079236593770942 54.28475789640468, 12.187783572738448 53.8165047334634)",946710698,32062544T,11TD8L317-276--N,50HERTZ,Lüdershagen,Güstrow,220,1200.0,,,,,,,,,264.0,False,,0.061855863635510336,0.2945803375321482,3.796285252427303e-06
18,Lüdershagen - Bentwisch 318,4.69,19.401,0.0002473375896171,65.349,,"LINESTRING (13.079236593770942 54.28475789640468, 12.213541114842796 54.11198199818173)",946710698,32318130T,11TD8L318------R,50HERTZ,Lüdershagen,Bentwisch,220,1200.0,,,,,,,,,264.0,False,,0.07176850449126995,0.29688289032731946,3.7848718360969563e-06
19,Parchim/Süd - Güstrow 328,15.5033,57.559,0.0001962238771432,52.317,,"LINESTRING (11.899829255734286 53.40736193236597, 12.187783572738448 53.8165047334634)",517421342,32062544T,11TD8L328------I,50HERTZ,Parchim/Süd,Güstrow,220,900.0,,,,,,,,,198.0,False,,0.2963338876464629,1.1001968767322285,3.7506714288510424e-06
20,Parchim/Süd - Wolmirstedt 332-322,9.62549,40.6047,0.0005821371187101,141.507,,"LINESTRING (11.899829255734286 53.40736193236597, 11.639147591424324 52.268969915491525)",517421342,26472665T,11TD8L332-322--6,50HERTZ,Parchim/Süd,Wolmirstedt,220,900.0,,,,,,,,,198.0,False,,0.06802129929968127,0.28694481545082573,4.1138397302614e-06
21,Eula - Wolkramshausen 357,12.208,46.854,0.0006000441968356,159.147,,"LINESTRING (12.51706354840278 51.15625143432265, 10.734669450629081 51.440186788221624)",32843531T,157164284,11TD8L357-----0Y,50HERTZ,Eula,Wolkramshausen,220,1070.0,,,,,,,,,235.4,False,,0.07670895461428742,0.29440705762596847,3.770377052885697e-06
22,Eula - Wolkramshausen 358,12.208,46.854,0.0006000441968356,159.147,,"LINESTRING (12.51706354840278 51.15625143432265, 10.734669450629081 51.440186788221624)",32843531T,157164284,11TD8L358------S,50HERTZ,Eula,Wolkramshausen,220,1070.0,,,,,,,,,235.4,False,,0.07670895461428742,0.29440705762596847,3.770377052885697e-06
23,Vieselbach - Wolkramshausen 367,2.5437,19.586,0.0002456725455107,65.756,,"LINESTRING (11.12324622947705 50.99837544626724, 10.734669450629081 51.440186788221624)",143882655T,157164284,11TD8L367------R,50HERTZ,Vieselbach,Wolkramshausen,220,1600.0,,,,,,,,,352.0,False,,0.03868392237970679,0.2978587505322708,3.7361236314663297e-06
24,Vieselbach - Wolkramshausen 368,2.5437,19.586,0.0002456725455107,65.756,,"LINESTRING (11.12324622947705 50.99837544626724, 10.734669450629081 51.440186788221624)",143882655T,157164284,11TD8L368------J,50HERTZ,Vieselbach,Wolkramshausen,220,1600.0,,,,,,,,,352.0,False,,0.03868392237970679,0.2978587505322708,3.7361236314663297e-06
25,Vieselbach - Remptendorf - Großschwabhausen 415,3.004,19.631,0.0003380982013793,77.547,,"LINESTRING (11.12324622947705 50.99837544626724, 11.646043667505104 50.534326597190315)",143882655,128277645,11TD8L415------4,50HERTZ,Vieselbach,Remptendorf - Großschwabhausen,400,2720.0,,,,,,,,,1088.0,False,,0.03873779772267141,0.2531497027609063,4.359913360662566e-06
26,Vieselbach - Remptendorf 416,3.0161,19.711,0.0003395433339999,77.547,,"LINESTRING (11.12324622947705 50.99837544626724, 11.646043667505104 50.534326597190315)",143882655,128277645,11TD8L416------X,50HERTZ,Vieselbach,Remptendorf,400,2720.0,,,,,,,,,1088.0,False,,0.03889383212761293,0.2541813351902717,4.378548931614376e-06
27,Krümmel - Görries 419,2.2112,22.407,0.000389086250147,87.47,,"LINESTRING (10.416762576558273 53.4116548654812, 11.370623032752329 53.60070409130673)",1089911132,30040568,11TD8L419------9,50HERTZ,Krümmel,Görries,400,2700.0,,,,,,,,,1080.0,False,,0.025279524408368583,0.25616782896993257,4.448225107431119e-06
28,Krümmel - Wessin 420,2.9614,28.516,0.0004957119048099,111.421,,"LINESTRING (10.416762576558273 53.4116548654812, 11.69881987615062 53.57199720951372)",1089911132,234171369,11TD8L420------Z,50HERTZ,Krümmel,Wessin,400,2700.0,,,,,,,,,1080.0,False,,0.026578472639807574,0.255930210642518,4.448998885397725e-06
29,Görries - Güstrow 423,2.2401,18.244,0.000311991566428,71.582,,"LINESTRING (11.370623032752329 53.60070409130673, 12.187783572738448 53.8165047334634)",30040568,32062544,11TD8L423------B,50HERTZ,Görries,Güstrow,400,2720.0,,,,,,,,,1088.0,False,,0.031294180101142745,0.25486854237098716,4.3585198293984525e-06
30,Wessin - Güstrow 424,1.4741,12.006,0.000205240248059,47.103,,"LINESTRING (11.69881987615062 53.57199720951372, 12.187783572738448 53.8165047334634)",234171369,32062544,11TD8L424------3,50HERTZ,Wessin,Güstrow,400,2720.0,,,,,,,,,1088.0,False,,0.0312952465872662,0.2548882236800204,4.3572648888393515e-06
31,Wolmirstedt - Förderstedt 437,1.3442,12.79,0.000209554,48.545,,"LINESTRING (11.639147591424324 52.268969915491525, 11.644047381570653 51.90827355298225)",26472665,943939310,11TD8L437------7,50HERTZ,Wolmirstedt,Förderstedt,400,2520.0,,,,,,,,,1008.0,False,,0.027689772376145845,0.26346688639406735,4.316695849212071e-06
32,Wolmirstedt - Förderstedt 438,1.3442,12.79,0.000209576,48.545,,"LINESTRING (11.639147591424324 52.268969915491525, 11.644047381570653 51.90827355298225)",26472665,943939310,11TD8L438-----0Y,50HERTZ,Wolmirstedt,Förderstedt,400,2520.0,,,,,,,,,1008.0,False,,0.027689772376145845,0.26346688639406735,4.3171490369760015e-06
33,Eisenach - Vieselbach 454,1.891,18.946,0.0003065251952107,72.285,,"LINESTRING (10.3863509479475 51.00214825653055, 11.12324622947705 50.99837544626724)",948341123,143882655,11TD8L454------D,50HERTZ,Eisenach,Vieselbach,400,2520.0,,,,,,,,,1008.0,False,,0.026160337552742618,0.2621014041640728,4.240509029683891e-06
34,Altenfeld - Remptendorf 463,1.49458131706003,13.5377482132995,0.0002085389203452,50.254,,"LINESTRING (10.991452474308451 50.57344666255494, 11.646043667505104 50.534326597190315)",149256409,128277645,11TD8L463------C,50HERTZ,Altenfeld,Remptendorf,400,2370.0,,,,,,,,,948.0,False,,0.02974054437577168,0.2693864809428006,4.149697941361882e-06
35,Altenfeld - Remptendorf 464,1.49458131706003,13.5377482132995,0.0002085389203452,50.254,,"LINESTRING (10.991452474308451 50.57344666255494, 11.646043667505104 50.534326597190315)",149256409,128277645,11TD8L464------4,50HERTZ,Altenfeld,Remptendorf,400,2370.0,,,,,,,,,948.0,False,,0.02974054437577168,0.2693864809428006,4.149697941361882e-06
36,Vieselbach - Altenfeld 467,1.1669,14.503,0.0002676636940858,56.081,,"LINESTRING (11.12324622947705 50.99837544626724, 10.991452474308451 50.57344666255494)",143882655,149256409,11TD8L467------H,50HERTZ,Vieselbach,Altenfeld,400,3600.0,,,,,,,,,1440.0,False,,0.020807403576969027,0.2586080847345803,4.772805301007472e-06
37,Vieselbach - Altenfeld 468,1.1669,14.503,0.0002676636940858,56.081,,"LINESTRING (11.12324622947705 50.99837544626724, 10.991452474308451 50.57344666255494)",143882655,149256409,11TD8L468------9,50HERTZ,Vieselbach,Altenfeld,400,3600.0,,,,,,,,,1440.0,False,,0.020807403576969027,0.2586080847345803,4.772805301007472e-06
38,Lauchstädt - Vieselbach 471,1.4276,19.656,0.000358456,78.069,,"LINESTRING (11.894609645338493 51.40652781387779, 11.12324622947705 50.99837544626724)",29713902,143882655,11TD8L471------J,50HERTZ,Lauchstädt,Vieselbach,400,3600.0,,,,,,,,,1440.0,False,,0.018286387682690954,0.2517772739499673,4.591528007275615e-06
39,Lauchstädt - Vieselbach 472,1.4276,19.656,0.000361597,78.069,,"LINESTRING (11.894609645338493 51.40652781387779, 11.12324622947705 50.99837544626724)",29713902,143882655,11TD8L472------B,50HERTZ,Lauchstädt,Vieselbach,400,3600.0,,,,,,,,,1440.0,False,,0.018286387682690954,0.2517772739499673,4.6317616467483895e-06
40,Lubmin - Altentreptow/Nord 475,1.4206,13.747,0.0002195659105593,52.115,,"LINESTRING (13.685367373727466 54.138808500639506, 13.318770847181206 53.7366214329407)",460134233,515358077,11TD8L475------O,50HERTZ,Lubmin,Altentreptow/Nord,400,2520.0,,,,,,,,,1008.0,False,,0.027258946560491222,0.26378202053151684,4.2131039155579e-06
41,Lubmin - Altentreptow/Süd 476,1.622,17.826,0.0002902831611916,68.8,,"LINESTRING (13.685367373727466 54.138808500639506, 13.174668468897496 53.62359937220434)",460134233,947118608,11T0-0000-0007-7,50HERTZ,Lubmin,Altentreptow/Süd,400,2520.0,,,,,,,,,1008.0,False,,0.02357558139534884,0.2590988372093023,4.2192319940639535e-06
42,Altentreptow/Nord - Altentreptow/Süd 477,0.395,4.342,7.07800824853781e-05,16.767,,"LINESTRING (13.318770847181206 53.7366214329407, 13.174668468897496 53.62359937220434)",515358077,947118608,11T0-0000-0008-4,50HERTZ,Altentreptow/Nord,Altentreptow/Süd,400,2520.0,,,,,,,,,1008.0,False,,0.0235581797578577,0.25896105445219775,4.221392168269702e-06
43,Altentreptow/Süd - Gransee 479,1.814,19.938,0.0003252490874261,77.008,,"LINESTRING (13.174668468897496 53.62359937220434, 13.263520371739533 52.9940843568667)",947118608,518455594,11TD8L479------T,50HERTZ,Altentreptow/Süd,Gransee,400,2520.0,,,,,,,,,1008.0,False,,0.02355599418242261,0.2589081653854145,4.223575309397725e-06
44,Stendal/West - Wolmirstedt 487,0.584579736817909,9.29162884166721,0.000172473436682,37.245,,"LINESTRING (11.727508020040192 52.56864177173218, 11.639147591424324 52.268969915491525)",33169401,26472665,,50HERTZ,Stendal/West,Wolmirstedt,400,3600.0,,,,,,,,,1440.0,False,,0.01569552253504924,0.24947318678123803,4.630780955349711e-06
45,Stendal/West - Wolmirstedt 488,0.584579736817909,9.29162884166721,0.000172473436682,37.245,,"LINESTRING (11.727508020040192 52.56864177173218, 11.639147591424324 52.268969915491525)",33169401,26472665,11T0-0000-0980-P,50HERTZ,Stendal/West,Wolmirstedt,400,3600.0,,,,,,,,,1440.0,False,,0.01569552253504924,0.24947318678123803,4.630780955349711e-06
46,Stendal/West - Wolmirstedt 489,1.1824,9.63,0.0001608181279372,37.245,,"LINESTRING (11.727508020040192 52.56864177173218, 11.639147591424324 52.268969915491525)",33169401,26472665,11TD8L489------K,50HERTZ,Stendal/West,Wolmirstedt,400,2520.0,,,,,,,,,1008.0,False,,0.031746543160155724,0.25855819573097066,4.3178447559994635e-06
47,Stendal/West - Wolmirstedt 490,1.1824,9.63,0.0001608181279372,37.245,,"LINESTRING (11.727508020040192 52.56864177173218, 11.639147591424324 52.268969915491525)",33169401,26472665,11TD8L490------9,50HERTZ,Stendal/West,Wolmirstedt,400,2520.0,,,,,,,,,1008.0,False,,0.031746543160155724,0.25855819573097066,4.3178447559994635e-06
48,Wolmirstedt - Teufelsbruch 493,3.6651,33.198,0.0005186769471076,124.397,,"LINESTRING (11.639147591424324 52.268969915491525, 13.211537101561797 52.58065166318165)",26472665,30132758,11TD8L493------M,50HERTZ,Wolmirstedt,Teufelsbruch,400,2400.0,,,,,,,,,960.0,False,,0.02946292917031761,0.2668713875736553,4.169529386621863e-06
49,Wolmirstedt - Wustermark 494,3.1838,27.944,0.0004344194321383,104.103,,"LINESTRING (11.639147591424324 52.268969915491525, 12.942934968142936 52.56249763814423)",26472665,27149550,11TD8L494------E,50HERTZ,Wolmirstedt,Wustermark,400,2500.0,,,,,,,,,1000.0,False,,0.03058317243499227,0.26842646225372946,4.172977072114156e-06
50,Neuenhagen - Marzahn 495,0.7606,4.3135,7.19424717672063e-05,16.937,,"LINESTRING (13.710163845494781 52.539128259959746, 13.524113150563435 52.535793675985985)",137197826,22973070,11TD8L495------6,50HERTZ,Neuenhagen,Marzahn,400,2280.0,,,,,,,,,912.0,False,,0.04490759874830253,0.2546791049182264,4.2476514003192e-06
51,Neuenhagen - Marzahn 496,0.7606,4.3135,7.19424717672063e-05,16.937,,"LINESTRING (13.710163845494781 52.539128259959746, 13.524113150563435 52.535793675985985)",137197826,22973070,11TD8L496------Z,50HERTZ,Neuenhagen,Marzahn,400,2400.0,,,,,,,,,960.0,False,,0.04490759874830253,0.2546791049182264,4.2476514003192e-06
52,Wustermark - Teufelsbruch 498,0.7176,7.7358,0.0001298106084463,29.597,,"LINESTRING (12.942934968142936 52.56249763814423, 13.211537101561797 52.58065166318165)",27149550,30132758,11TD8L498------J,50HERTZ,Wustermark,Teufelsbruch,400,2400.0,,,,,,,,,960.0,False,,0.024245700577761257,0.26137108490725414,4.3859380493394595e-06
53,Jessen/Nord - Lauchstädt 499,3.33876,25.41866,0.0004645787216128,102.157,,"LINESTRING (13.058542254426868 51.79998218814505, 11.894609645338493 51.40652781387779)",398680313,29713902,11TD8L499------B,50HERTZ,Jessen/Nord,Lauchstädt,400,2040.0,,,,,,,,,816.0,False,,0.03268263555116145,0.24881956204665368,4.54769346802275e-06
54,Jessen/Nord - Marke 500,3.45078,26.8854,0.0004905911087845,107.37,,"LINESTRING (13.058542254426868 51.79998218814505, 12.261620171338839 51.7408916403371)",398680313,946025110,11TD8L500------6,50HERTZ,Jessen/Nord,Marke,400,2040.0,,,,,,,,,816.0,False,,0.032139145012573346,0.25039955294775074,4.569163721565614e-06
55,Ragow - Schönewalde 501,1.69849981811505,13.442114075663,0.000246772,54.003,,"LINESTRING (13.901313172956392 51.87594786200828, 13.157894179471937 51.82827155334001)",940922557,28729619,11T0-0000-0040-C,50HERTZ,Ragow,Schönewalde,400,2040.0,,,,,,,,,816.0,False,,0.0314519530047414,0.24891420987098864,4.569597985297113e-06
56,Ragow - Jessen/Nord 502,1.945,15.45,0.00029028,61.782,,"LINESTRING (13.901313172956392 51.87594786200828, 13.058542254426868 51.79998218814505)",940922557,398680313,11TD8L502-----1N,50HERTZ,Ragow,Jessen/Nord,400,2040.0,,,,,,,,,816.0,False,,0.03148166132530511,0.25007283674856756,4.698455860930369e-06
57,Schönewalde - Jessen/Nord 503,0.25355,2.06146,3.62853951489621e-05,7.953,,"LINESTRING (13.157894179471937 51.82827155334001, 13.058542254426868 51.79998218814505)",28729619,398680313,11TD8L503-----1F,50HERTZ,Schönewalde,Jessen/Nord,400,2040.0,,,,,,,,,816.0,False,,0.03188105117565698,0.25920533132151385,4.562478957495548e-06
58,Marke - Lauchstädt 504,2.104,12.729,0.0002301530778019,50.873,,"LINESTRING (12.261620171338839 51.7408916403371, 11.894609645338493 51.40652781387779)",946025110,29713902,11TD8L504------B,50HERTZ,Marke,Lauchstädt,400,2040.0,,,,,,,,,816.0,False,,0.041357891219310834,0.2502113105183496,4.5240712716352485e-06
59,Lubmin - Siedenbrünzow 509,1.5903,14.442,0.0002431278554613,56.205,,"LINESTRING (13.685367373727466 54.138808500639506, 13.14322466071259 53.90779757192849)",460134233,941453716,11TD8L509------8,50HERTZ,Lubmin,Siedenbrünzow,400,2520.0,,,,,,,,,1008.0,False,,0.028294635708566857,0.2569522284494262,4.3257335728369365e-06
60,Lubmin - Siedenbrünzow 510,1.5903,14.442,0.0002431278554613,56.205,,"LINESTRING (13.685367373727466 54.138808500639506, 13.14322466071259 53.90779757192849)",460134233,941453716,11TD8L510------Y,50HERTZ,Lubmin,Siedenbrünzow,400,2520.0,,,,,,,,,1008.0,False,,0.028294635708566857,0.2569522284494262,4.3257335728369365e-06
61,Siedenbrünzow - Güstrow 512,3.3653,25.045,0.0003869185512161,93.611,,"LINESTRING (13.14322466071259 53.90779757192849, 12.187783572738448 53.8165047334634)",941453716,32062544,11TD8L512------I,50HERTZ,Siedenbrünzow,Güstrow,400,2500.0,,,,,,,,,1000.0,False,,0.03594983495529371,0.26754334426509707,4.133259458996272e-06
62,Siedenbrünzow - Putlitz/Süd 513,2.589,28.065,0.0004645787216128,109.1,,"LINESTRING (13.14322466071259 53.90779757192849, 12.109095205063763 53.25082285662708)",941453716,851299584,11TD8L513------A,50HERTZ,Siedenbrünzow,Putlitz/Süd,400,2500.0,,,,,,,,,1000.0,False,,0.023730522456461962,0.2572410632447296,4.258283424498625e-06
63,Güstrow - Putlitz/Süd 514,2.882,26.429,0.00042223,100.3,,"LINESTRING (12.187783572738448 53.8165047334634, 12.109095205063763 53.25082285662708)",32062544,851299584,11TD8L514-----1Z,50HERTZ,Güstrow,Putlitz/Süd,400,2520.0,,,,,,,,,1008.0,False,,0.02873379860418744,0.26349950149551343,4.2096709870388835e-06
64,Perleberg - Stendal/West 516,2.4508,19.375,0.0003247778485281,75.543,,"LINESTRING (11.852430967430454 53.086860872652856, 11.727508020040192 52.56864177173218)",59707532,33169401,11TD8L516------N,50HERTZ,Perleberg,Stendal/West,400,2520.0,,,,,,,,,1008.0,False,,0.03244244999536688,0.2564764438796447,4.299244781490012e-06
65,Gransee - Neuenhagen 517,1.659,18.225,0.0002964092668661,70.32,,"LINESTRING (13.263520371739533 52.9940843568667, 13.710163845494781 52.539128259959746)",518455594,137197826,11TD8L517-----1B,50HERTZ,Gransee,Neuenhagen,400,2040.0,,,,,,,,,816.0,False,,0.023592150170648467,0.25917235494880553,4.215148846218715e-06
66,Altentreptow/Süd - Malchow 518,3.09,33.95,0.0005532344662971,131.262,,"LINESTRING (13.174668468897496 53.62359937220434, 13.49556298415205 52.589926657363335)",947118608,940636813,11T0-0000-0010-O,50HERTZ,Altentreptow/Süd,Malchow,400,2040.0,,,,,,,,,816.0,False,,0.0235407048498423,0.2586430193049017,4.214734396071216e-06
67,Neuenhagen - Malchow 520,0.5655,6.2143,0.000101127867519,23.992,,"LINESTRING (13.710163845494781 52.539128259959746, 13.49556298415205 52.589926657363335)",137197826,940636813,11TD8L520------P,50HERTZ,Neuenhagen,Malchow,400,2040.0,,,,,,,,,816.0,False,,0.023570356785595197,0.25901550516838945,4.215066168681227e-06
68,Wustermark - Ragow 521-525,4.0033,32.625,0.0005854357909964,130.739,,"LINESTRING (12.942934968142936 52.56249763814423, 13.901313172956392 51.87594786200828)",27149550,940922557,11TD8L521-525--G,50HERTZ,Wustermark,Ragow,400,2504.0,,,,,,,,,1001.6,False,,0.030620549338758903,0.2495429825836208,4.477897115599783e-06
69,Thyrow - Ragow 522,1.9479,15.382,0.0002779681179896,61.804,,"LINESTRING (13.306340695859857 52.23082065834205, 13.901313172956392 51.87594786200828)",29331499,940922557,11TD8L522------9,50HERTZ,Thyrow,Ragow,400,2504.0,,,,,,,,,1001.6,False,,0.03151737751601838,0.24888356740664033,4.497574881716393e-06
70,Wustermark - Thyrow 526,2.0631,17.306,0.0003125256371791,69.44,,"LINESTRING (12.942934968142936 52.56249763814423, 13.306340695859857 52.23082065834205)",27149550T,29331499T,11TD8L526------E,50HERTZ,Wustermark,Thyrow,220,1290.0,,,,,,,,,283.8,False,,0.02971054147465438,0.24922235023041478,4.500657217440956e-06
71,Förderstedt - Ragow 531,4.9858,46.695,0.0007656061296798,179.426,,"LINESTRING (11.644047381570653 51.90827355298225, 13.901313172956392 51.87594786200828)",943939310,940922557,11TD8L531------8,50HERTZ,Förderstedt,Ragow,400,2520.0,,,,,,,,,1008.0,False,,0.02778750013933321,0.2602465640431153,4.2669742940253925e-06
72,Förderstedt - Jessen/Nord 533,3.2516,30.4911,0.0005270964154192,117.5,,"LINESTRING (11.644047381570653 51.90827355298225, 13.058542254426868 51.79998218814505)",943939310,398680313,11T0-0000-0042-6,50HERTZ,Förderstedt,Jessen/Nord,400,2520.0,,,,,,,,,1008.0,False,,0.0276731914893617,0.25949872340425534,4.4859269397378725e-06
73,Lauchstädt - Wolmirstedt 535,5.4291,40.6894,0.0006766990575832,155.36,,"LINESTRING (11.894609645338493 51.40652781387779, 11.639147591424324 52.268969915491525)",29713902,26472665,11TD8L535------D,50HERTZ,Lauchstädt,Wolmirstedt,400,2520.0,,,,,,,,,1008.0,False,,0.03494528836251287,0.261903964984552,4.355683944279094e-06
74,Wolmirstedt - Klostermansfeld 536,3.8793,30.282,0.0005040057094154,117.188,,"LINESTRING (11.639147591424324 52.268969915491525, 11.516324717607722 51.58398535912944)",26472665,32690742,11TD8L536------5,50HERTZ,Wolmirstedt,Klostermansfeld,400,2520.0,,,,,,,,,1008.0,False,,0.03310321875959996,0.25840529747073077,4.300830370135167e-06
75,Klostermansfeld - Lauchstädt 538,1.3812,10.0828,0.0001696145873673,38.769,,"LINESTRING (11.516324717607722 51.58398535912944, 11.894609645338493 51.40652781387779)",32690742,29713902,11TD8L538------Q,50HERTZ,Klostermansfeld,Lauchstädt,400,2500.0,,,,,,,,,1000.0,False,,0.03562640253811035,0.2600737702803787,4.375005477760582e-06
