id,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Imax,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line,Unnamed: 26,r_per_km,x_per_km,b_per_km
0,Eula - Röhrsdorf 203,4.0937,18.349,0.0001611637031291,51.511,,"LINESTRING (12.51706354840278 51.15625143432265, 12.815082479900907 50.8586894766598)",32843531T,23117075T,11TD8L203------C,50HERTZ,Eula,Röhrsdorf,220,790.0,,,,,,,,,173.8,False,,0.07947234571256624,0.35621517734076213,3.12872402261847e-06
1,Röhrsdorf - Weida 207,7.5895,31.888,0.0003487167845484,98.324,,"LINESTRING (12.815082479900907 50.8586894766598, 12.045507458183808 50.780948866412196)",23117075T,156673637T,11TD8L207------H,50HERTZ,Röhrsdorf,Weida,220,790.0,,,,,,,,,173.8,False,,0.07718868231560962,0.32431552825352916,3.546609012534071e-06
2,Eula - Weida 208,5.0537,19.541,0.0002642393580934,67.55,,"LINESTRING (12.51706354840278 51.15625143432265, 12.045507458183808 50.780948866412196)",32843531T,156673637T,11TD8L208------9,50HERTZ,Eula,Weida,220,1070.0,,,,,,,,,235.4,False,,0.07481421169504071,0.2892820133234641,3.911759557267209e-06
3,Bentwisch - Güstrow 275,1.909,12.055,0.0001580849423286,41.418,,"LINESTRING (12.213541114842796 54.11198199818173, 12.187783572738448 53.8165047334634)",32318130T,32062544T,11TD8L275------7,50HERTZ,Bentwisch,Güstrow,220,1200.0,,,,,,,,,264.0,False,,0.04609107151480033,0.29105702834516395,3.816817382022309e-06
4,Wuhlheide - Thyrow 291,2.9672,11.191,0.000266784,38.882,,"LINESTRING (13.506127335205774 52.47382560493638, 13.306340695859857 52.23082065834205)",22973052,29331499T,11TD8L291------L,50HERTZ,Wuhlheide,Thyrow,220,960.0,,,,,,,,,211.2,False,,0.07631294686487321,0.28781955660717046,6.861375443650018e-06
5,Hennigsdorf - Wustermark 295,0.548,6.85,0.0001291194580625,27.4,,"LINESTRING (13.20629237344052 52.657192445272536, 12.942934968142936 52.56249763814423)",30309989,27149550T,11TD8L295------Q,50HERTZ,Hennigsdorf,Wustermark,220,1070.0,,,,,,,,,235.4,False,,0.020000000000000004,0.25,4.712388980383212e-06
6,Marzahn - Wuhlheide 301,0.5487,2.4908,3.70707933123596e-05,9.111,,"LINESTRING (13.524113150563435 52.535793675985985, 13.506127335205774 52.47382560493638)",22973070T,22973052,11TD8L301------I,50HERTZ,Marzahn,Wuhlheide,220,1070.0,,,,,,,,,235.4,False,,0.06022390516957523,0.27338382175392384,4.068795226908089e-06
7,Marzahn - Wuhlheide(Abzweig) 302/1,0.545,2.4772,3.70707933123596e-05,9.111,,"LINESTRING (13.524113150563435 52.535793675985985, 13.506127335205774 52.47382560493638)",22973070T,22973052,11TD8L302------A,50HERTZ,Marzahn,Wuhlheide (Abzweig),220,960.0,,,,,,,,,211.2,False,,0.05981780265612995,0.2718911206234222,4.068795226908089e-06
8,Wuhlheide (Abzweig) - Thyrow 302/2,2.9672,11.191,0.0001531212259359,38.882,,"LINESTRING (13.506127335205774 52.47382560493638, 13.306340695859857 52.23082065834205)",22973052,29331499T,11TD8L302------A,50HERTZ,Wuhlheide (Abzweig),Thyrow,220,960.0,,,,,,,,,211.2,False,,0.07631294686487321,0.28781955660717046,3.93810055902217e-06
9,Bertikow - Neuenhagen303,6.6733,25.638,0.0003211650169764,86.064,,"LINESTRING (13.95682653407757 53.252375024908, 13.710163845494781 52.539128259959746)",30039908,137197826T,11TD8L303------2,50HERTZ,Bertikow,Neuenhagen,220,1070.0,,,,,,,,,235.4,False,,0.07753880832868563,0.29789459007250424,3.7316998626185165e-06
