matched,jao_id,pypsa_ids,path_length,length_ratio,match_quality,is_geometric_match,is_parallel_circuit,is_duplicate,locked_by_corridor,circuit_allocation,jao_length_km,jao_r,jao_x,jao_b,jao_r_per_km,jao_x_per_km,jao_b_per_km,matched_lines_data,matched_km,coverage_ratio,allocated_r_sum,allocated_x_sum,allocated_b_sum,residual_r_percent,residual_x_percent,residual_b_percent,forced_unmatched
True,244,relation/1641463-380-a;relation/1641463-380-b;relation/1641463-380-c;relation/1641463-380-e,46.75085,1.5861085121721978,Exact Multi-Segment Circuit (4 segments),True,True,False,True,"{'relation/1641463-380-a': {'total_circuits': 1, 'shared_with': 1, 'allocation_factor': 1.0}, 'relation/1641463-380-b': {'total_circuits': 1, 'shared_with': 1, 'allocation_factor': 1.0}, 'relation/1641463-380-c': {'total_circuits': 1, 'shared_with': 1, 'allocation_factor': 1.0}, 'relation/1641463-380-e': {'total_circuits': 1, 'shared_with': 1, 'allocation_factor': 1.0}}",46.3014855913786,1.225,11.65,0.0002018,0.026457034463449196,0.25161179714219034,4.35839147324412e-06,"[{'network_id': 'relation/1641463-380-a', 'length_km': 1.49238, 'num_parallel': 1, 'allocation_factor': 1.0, 'segment_ratio': 0.032231795177601885, 'allocated_r': 0.039104433395328646, 'allocated_x': 0.3718911420861867, 'allocated_b': 6.441856864634547e-06, 'allocation_status': 'Applied'}, {'network_id': 'relation/1641463-380-b', 'length_km': 4.4867799999999995, 'num_parallel': 1, 'allocation_factor': 1.0, 'segment_ratio': 0.09690358619584863, 'allocated_r': 0.11756589452384288, 'allocated_x': 1.1180756499614444, 'allocated_b': 1.9367181644825706e-05, 'allocation_status': 'Applied'}, {'network_id': 'relation/1641463-380-c', 'length_km': 19.6365, 'num_parallel': 1, 'allocation_factor': 1.0, 'segment_ratio': 0.42410086305430217, 'allocated_r': 0.5145299497228394, 'allocated_x': 4.89328482797639, 'allocated_b': 8.476093375842366e-05, 'allocation_status': 'Applied'}, {'network_id': 'relation/1641463-380-e', 'length_km': 21.135189999999998, 'num_parallel': 1, 'allocation_factor': 1.0, 'segment_ratio': 0.4564689389563647, 'allocated_r': 0.5537997223579891, 'allocated_x': 5.2667483799759784, 'allocated_b': 9.123002773211609e-05, 'allocation_status': 'Applied'}]",46.75085,1.0097051833841173,1.225,11.649999999999999,0.0002018,0.0,1.5247698192276827e-14,0.0,
False,245,,,,Unmatched - No available circuit (capacity of 1 already allocated),False,False,False,True,,,,,,,,,,,,,,,,,,True
